Row_ID,Observer,Site,Date,Time,Weather,General Comments,Period_Count,Sex,Age,Group,Traveler,Sidewalk,Bike_Lane_With,Bike_Lane_Against,Street_With_Traffic,Street_Against_Traffic,Comments,Not_Recommended,Infrastructure_Crossed
103,KL,E 4th St,4/18/21,Afternoon,Cloudy,64F,1,m,y,y,w,1,0,0,0,0,,0,0
349,KL,E 4th St,4/24/21,Noon,Sunny,75F,80,m,y,y,w,1,0,0,0,0,with mom,0,0
353,KL,E 4th St,4/24/21,Noon,Sunny,75F,84,m,y,y,w,1,0,0,0,0,with dad,0,0
402,KL,E 4th St,4/24/21,Noon,Sunny,75F,133,m,y,n,e,0,0,0,1,0,,1,0
1055,KL,E 4th St,5/1/21,Noon,Cloudy,74F,8,m,y,y,w,1,0,0,0,0,With Parents,0,0
1056,KL,E 4th St,5/1/21,Noon,Cloudy,74F,9,f,y,y,w,1,0,0,0,0,With Parents,0,0
1064,KL,E 4th St,5/1/21,Noon,Cloudy,74F,17,m,y,y,c,0,0,0,1,0,With Dad,1,0
1187,KL,E 4th St,5/1/21,Noon,Cloudy,74F,140,m,y,y,c,0,0,0,1,0,With Dad,1,0
1610,KL,E 4th St,5/5/21,Evening,Sunny,81F,11,m,y,n,e,0,1,0,0,0,,0,0
2224,KL,E 4th St,5/9/21,Noon,Cloudy,84F,81,m,y,y,w,1,0,0,0,0,With family,0,0
1072,KL,E 4th St,5/1/21,Noon,Cloudy,74F,25,m,y,y,c,0,1,1,0,0,With Dad,1,1
1732,KL,E 4th St,5/5/21,Evening,Sunny,81F,133,f,y,y,c,0,1,1,0,0,With Dad,1,1
2225,KL,E 4th St,5/9/21,Noon,Cloudy,84F,82,m,y,y,w,1,0,1,0,0,With family,1,1
189,KL,E 4th St,4/18/21,Afternoon,Cloudy,64F,87,m,oa,n,c,0,1,0,0,0,,0,0
256,KL,E 4th St,4/18/21,Afternoon,Cloudy,64F,154,m,oa,n,c,0,1,0,0,0,,0,0
292,KL,E 4th St,4/24/21,Noon,Sunny,75F,23,m,oa,n,w,1,0,0,0,0,,0,0
297,KL,E 4th St,4/24/21,Noon,Sunny,75F,28,m,oa,y,c,0,0,0,1,0,,1,0
340,KL,E 4th St,4/24/21,Noon,Sunny,75F,71,m,oa,n,c,0,0,0,1,0,,1,0
372,KL,E 4th St,4/24/21,Noon,Sunny,75F,103,m,oa,n,c,0,0,0,1,0,,1,0
394,KL,E 4th St,4/24/21,Noon,Sunny,75F,125,m,oa,n,c,0,0,0,1,0,,1,0
412,KL,E 4th St,4/24/21,Noon,Sunny,75F,143,m,oa,n,c,0,1,0,0,0,,0,0
419,KL,E 4th St,4/24/21,Noon,Sunny,75F,150,f,oa,n,c,0,0,0,1,0,,1,0
424,KL,E 4th St,4/24/21,Noon,Sunny,75F,155,m,oa,y,c,1,0,0,0,0,,1,0
425,KL,E 4th St,4/24/21,Noon,Sunny,75F,156,m,oa,y,c,0,1,0,0,0,,0,0
435,KL,E 4th St,4/24/21,Noon,Sunny,75F,166,m,oa,n,c,0,1,0,0,0,,0,0
446,KL,E 4th St,4/24/21,Noon,Sunny,75F,177,m,oa,n,c,0,1,0,0,0,,0,0
711,KB,Rio Grande St,4/21/21,Noon,Cloudy,63F,123,m,oa,n,c,0,1,0,0,0,,0,0
844,KL,Rio Grande St,4/27/21,Noon,Cloudy,76F,117,m,oa,y,w,1,0,0,0,0,,0,0
845,KL,Rio Grande St,4/27/21,Noon,Cloudy,76F,118,f,oa,y,w,1,0,0,0,0,,0,0
865,KL,Rio Grande St,4/27/21,Noon,Cloudy,76F,138,m,oa,n,w,1,0,0,0,0,,0,0
910,KL,Rio Grande St,4/28/21,Evening,Cloudy,82F,28,m,oa,n,c,0,1,0,0,0,,0,0
1060,KL,E 4th St,5/1/21,Noon,Cloudy,74F,13,m,oa,n,c,0,1,0,0,0,,0,0
1264,KL,Rio Grande St,5/2/21,Afternoon,Sunny,88F,37,m,oa,n,c,0,1,0,0,0,,0,0
1270,KL,Rio Grande St,5/2/21,Afternoon,Sunny,88F,43,m,oa,n,c,0,1,0,0,0,,0,0
1356,KL,Rio Grande St,5/2/21,Afternoon,Sunny,88F,129,m,oa,n,c,0,1,0,0,0,,0,0
1412,KB,Rio Grande St,5/5/21,Morning,Sunny,61F,31,m,oa,n,c,0,1,0,0,0,,0,0
1421,KB,Rio Grande St,5/5/21,Morning,Sunny,61F,40,m,oa,n,c,0,1,0,0,0,,0,0
1423,KB,Rio Grande St,5/5/21,Morning,Sunny,61F,42,m,oa,n,c,0,1,0,0,0,,0,0
1435,KB,Rio Grande St,5/5/21,Morning,Sunny,61F,54,m,oa,n,c,0,1,0,0,0,,0,0
1503,KL,Rio Grande St,5/5/21,Noon,Sunny,73F,65,m,oa,n,c,0,1,0,0,0,,0,0
1541,KL,Rio Grande St,5/5/21,Noon,Sunny,73F,103,m,oa,n,c,0,1,0,0,0,,0,0
1567,KL,Rio Grande St,5/5/21,Noon,Sunny,73F,129,m,oa,y,c,0,1,0,0,0,,0,0
1568,KL,Rio Grande St,5/5/21,Noon,Sunny,73F,130,m,oa,y,c,0,1,0,0,0,,0,0
1621,KL,E 4th St,5/5/21,Evening,Sunny,81F,22,m,oa,n,c,0,1,0,0,0,,0,0
1674,KL,E 4th St,5/5/21,Evening,Sunny,81F,75,f,oa,n,w,1,0,0,0,0,,0,0
1721,KL,E 4th St,5/5/21,Evening,Sunny,81F,122,m,oa,n,c,0,0,0,1,0,,1,0
1805,KB,Rio Grande St,5/7/21,Noon,Sunny,81F,46,m,oa,n,c,0,1,0,0,0,,0,0
1937,KL,E 4th St,5/7/21,Evening,Cloudy,84F,40,m,oa,n,c,0,1,0,0,0,,0,0
2007,KL,E 4th St,5/7/21,Evening,Cloudy,84F,110,f,oa,n,c,0,1,0,0,0,,0,0
2070,KL,E 4th St,5/8/21,Afternoon,Cloudy,86F,47,m,oa,n,c,0,1,0,0,0,,0,0
2140,KL,E 4th St,5/8/21,Afternoon,Cloudy,86F,117,m,oa,n,c,0,1,0,0,0,,0,0
2144,KL,E 4th St,5/9/21,Noon,Cloudy,84F,1,m,oa,y,c,0,0,0,1,0,,1,0
2208,KL,E 4th St,5/9/21,Noon,Cloudy,84F,65,m,oa,y,c,1,0,0,0,0,,1,0
2226,KL,E 4th St,5/9/21,Noon,Cloudy,84F,83,f,oa,y,w,1,0,0,0,0,,0,0
2235,KL,E 4th St,5/9/21,Noon,Cloudy,84F,92,m,oa,n,c,0,1,0,0,0,,0,0
617,KB,Rio Grande St,4/21/21,Noon,Cloudy,63F,29,m,oa,n,w,0,1,1,0,0,,1,1
1592,KL,Rio Grande St,5/5/21,Noon,Sunny,73F,154,f,oa,n,w,1,1,1,0,1,,1,3
15,KL,E 4th St,4/10/21,Afternoon,Sunny,"79F, nice breeze, ended at 3:42pm",15,m,oa,n,c,0,1,0,0,0,,0,0
66,KL,E 4th St,4/10/21,Afternoon,Sunny,"79F, nice breeze, ended at 3:42pm",66,m,oa,n,w,1,0,0,0,0,,0,0
1,KL,E 4th St,4/10/21,Afternoon,Sunny,"79F, nice breeze, ended at 3:42pm",1,m,a,n,e,0,0,0,0,1,,1,0
2,KL,E 4th St,4/10/21,Afternoon,Sunny,"79F, nice breeze, ended at 3:42pm",2,m,a,y,c,0,0,0,1,0,,1,0
3,KL,E 4th St,4/10/21,Afternoon,Sunny,"79F, nice breeze, ended at 3:42pm",3,m,a,y,c,0,0,0,1,0,,1,0
4,KL,E 4th St,4/10/21,Afternoon,Sunny,"79F, nice breeze, ended at 3:42pm",4,f,a,n,dw,0,0,0,0,1,,1,0
